,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.7892294884114106,0.21072518359114584,0.5,0.43050893014259106,0.09158011643398618,0.5,0.7174411165376389,0.0,0.7833333333333333,0.5,0.4392523364485981,0.0,60.0
RandomForest,0.7993882185701408,0.20611863666552183,0.5548872180451128,0.4914274002594306,0.18848731657751883,0.5548872180451128,0.7350226918162251,0.10942766979846516,0.7833333333333333,0.5,0.4392523364485981,0.0,60.0
LogisticRegression,0.6152630588328527,0.14526970066070108,0.5534570317668228,0.4608758197337785,0.11576122973444425,0.5534570317668228,0.653284903879467,-0.0042874886472048955,0.7333333333333333,0.5515548281505729,0.5547309833024119,0.11602209944751385,60.0
XGBoost,0.7955390122209345,0.19594186206668082,0.5652459025108019,0.49591847970741154,0.14893133540172185,0.5652459025108019,0.7452362022048954,0.0973909502798344,0.7666666666666667,0.48936170212765956,0.4339622641509434,-0.03194103194103204,60.0
conformer_fusion,0.7380720493592346,0.19320860601893483,0.5185549871095537,0.475102376102763,0.17580326372928642,0.5185549871095537,0.7110397394554414,0.031584035621288885,0.7666666666666667,0.5171849427168577,0.4951923076923077,0.04761904761904756,60.0
tiny_tcn_fusion,0.7362522660405956,0.19737569976708302,0.49436555188877174,0.4544083263840175,0.1283954817006469,0.49436555188877174,0.704783363267132,0.004874866701255326,0.75,0.4787234042553192,0.42857142857142855,-0.061320754716981174,60.0
bilstm_fusion,0.7204205342077196,0.16653393041523687,0.5666259670197364,0.5070627319747415,0.13597831162371735,0.5666259670197364,0.7212100029443073,0.09512443274391896,0.7333333333333333,0.5237315875613748,0.52,0.05697445972495074,60.0
cnn1d_fusion,0.7674747227092764,0.18303393132591517,0.5384678608285419,0.45233056778799224,0.08746996870222042,0.5384678608285419,0.7185633325870049,0.02237230750961374,0.75,0.4787234042553192,0.42857142857142855,-0.061320754716981174,60.0
multistream_fusion,0.7210635118758687,0.18798726813052885,0.4919024890658017,0.4287875448466322,0.08435647032726855,0.4919024890658017,0.6874735282055319,-0.0016599083213674425,0.7333333333333333,0.46808510638297873,0.4230769230769231,-0.08843537414965996,60.0
DANN_Conformer,0.7189051928239572,0.1777984024831755,0.5306719582232354,0.46928634762250276,0.11942012125014705,0.5306719582232354,0.7037782094310915,0.037083725138100695,0.75,0.5065466448445172,0.48600799543118217,0.017467248908296873,60.0
TSTCC,0.7000366776625359,0.16460881772290883,0.5444680871673906,0.47740786821864933,0.13155481318020498,0.5444680871673906,0.6982876931201948,0.03457635266713949,0.75,0.5065466448445172,0.48600799543118217,0.017467248908296873,60.0
Ensemble,0.781188552738896,0.21204877306390638,0.5219248949579832,0.4484490790000786,0.11746986023316186,0.5219248949579832,0.7181730286707608,0.023360473825838484,0.7666666666666667,0.48936170212765956,0.4339622641509434,-0.03194103194103204,60.0
