subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.14285714285714285,0.5263157894736842,0.14090909090909093,0.5263157894736842,0.1077922077922078,0.010471204188481686
P02,0.8333333333333334,0.4411764705882353,0.45454545454545453,0.4411764705882353,0.8585858585858586,-0.08000000000000007
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.75,0.39473684210526316,0.42857142857142855,0.39473684210526316,0.8142857142857143,-0.0869565217391306
P05,0.5263157894736842,0.35714285714285715,0.3448275862068966,0.35714285714285715,0.5081669691470054,-0.30534351145038174
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.7,0.625,0.6000000000000001,0.625,0.72,0.21052631578947367
P08,0.6,0.4945054945054945,0.4666666666666667,0.4945054945054945,0.5466666666666666,-0.012658227848101111
P09,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P10,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P11,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P12,0.8095238095238095,0.6,0.611111111111111,0.6,0.7566137566137565,0.27586206896551724
P13,0.8,0.42105263157894735,0.4444444444444444,0.42105263157894735,0.8444444444444444,-0.08108108108108092
P14,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.6666666666666666,0.4375,0.4,0.4375,0.6095238095238096,-0.15748031496062986
P17,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P18,0.6666666666666666,0.4375,0.4,0.4375,0.6095238095238096,-0.15748031496062986
P19,0.8636363636363636,0.4523809523809524,0.4634146341463415,0.4523809523809524,0.8847006651884701,-0.06451612903225801
P20,0.9565217391304348,0.75,0.821705426356589,0.75,0.9497809234917424,0.6461538461538462
