accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa,n_test,subject,model
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P01,Baseline
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P01,RandomForest
0.8571428571428571,0.9166666666666667,0.7878787878787878,0.9166666666666667,0.8744588744588745,0.588235294117647,7,P01,LogisticRegression
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P01,XGBoost
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P01,conformer_fusion
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P01,bilstm_fusion
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P01,cnn1d_fusion
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P01,tiny_tcn_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P06,Baseline
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P06,RandomForest
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P06,LogisticRegression
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P06,XGBoost
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P06,conformer_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P06,bilstm_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P06,cnn1d_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P06,tiny_tcn_fusion
0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0,6,P12,Baseline
1.0,1.0,1.0,1.0,1.0,1.0,6,P12,RandomForest
1.0,1.0,1.0,1.0,1.0,1.0,6,P12,LogisticRegression
0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0,6,P12,XGBoost
1.0,1.0,1.0,1.0,1.0,1.0,6,P12,conformer_fusion
0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667,6,P12,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P12,cnn1d_fusion
0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667,6,P12,tiny_tcn_fusion
0.6,0.5,0.375,0.5,0.45,0.0,5,P13,Baseline
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,RandomForest
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,LogisticRegression
0.6,0.5,0.375,0.5,0.45,0.0,5,P13,XGBoost
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,tiny_tcn_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P15,Baseline
1.0,1.0,1.0,1.0,1.0,1.0,6,P15,RandomForest
1.0,1.0,1.0,1.0,1.0,1.0,6,P15,LogisticRegression
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P15,XGBoost
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P15,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P15,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P15,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P15,tiny_tcn_fusion
