subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
100,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
101,0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0
104,0.6842105263157895,0.5,0.40625,0.5,0.555921052631579,0.0
106,1.0,1.0,1.0,1.0,1.0,
108,1.0,1.0,1.0,1.0,1.0,
109,0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0
112,1.0,1.0,1.0,1.0,1.0,
113,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
114,1.0,1.0,1.0,1.0,1.0,
115,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0
121,0.6,0.5,0.375,0.5,0.45,0.0
122,1.0,1.0,1.0,1.0,1.0,
127,0.0,0.0,0.0,0.0,0.0,0.0
128,1.0,1.0,1.0,1.0,1.0,
130,0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0
133,0.5833333333333334,0.5,0.3684210526315789,0.5,0.4298245614035088,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0
138,0.7777777777777778,0.5,0.4375,0.5,0.6805555555555556,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0
144,0.5833333333333334,0.5,0.3684210526315789,0.5,0.4298245614035088,0.0
147,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0
150,1.0,1.0,1.0,1.0,1.0,
155,1.0,1.0,1.0,1.0,1.0,
164,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0
174,1.0,1.0,1.0,1.0,1.0,
19,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,1.0,1.0,1.0,1.0,
31,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,1.0,1.0,1.0,1.0,
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
44,1.0,1.0,1.0,1.0,1.0,
47,1.0,1.0,1.0,1.0,1.0,
48,1.0,1.0,1.0,1.0,1.0,
49,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.7,0.5,0.4117647058823529,0.5,0.5764705882352941,0.0
58,0.5454545454545454,0.5,0.35294117647058826,0.5,0.3850267379679144,0.0
61,1.0,1.0,1.0,1.0,1.0,
63,0.0,0.0,0.0,0.0,0.0,0.0
65,1.0,1.0,1.0,1.0,1.0,
67,0.6,0.5,0.375,0.5,0.45,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,1.0,1.0,1.0,1.0,
73,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,1.0,1.0,1.0,1.0,
77,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0
87,0.2857142857142857,0.5,0.2222222222222222,0.5,0.12698412698412698,0.0
89,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
93,0.4666666666666667,0.5,0.3181818181818182,0.5,0.29696969696969694,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,1.0,1.0,1.0,1.0,1.0,
97,1.0,1.0,1.0,1.0,1.0,
98,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0
