subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
100,0.7,0.7083333333333333,0.696969696969697,0.7083333333333333,0.7030303030303029,0.4
101,0.3333333333333333,0.25,0.25,0.25,0.3333333333333333,-0.5
103,1.0,1.0,1.0,1.0,1.0,
104,0.42105263157894735,0.4423076923076923,0.4145658263305322,0.4423076923076923,0.4372696446999852,-0.09424083769633507
106,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8,0.0
108,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.4166666666666667,0.9090909090909091,0.0
109,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.3999999999999999
110,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0
113,0.75,0.75,0.7482517482517483,0.75,0.7482517482517483,0.5
114,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
115,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
117,1.0,1.0,1.0,1.0,1.0,
118,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
120,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
121,0.6,0.6666666666666666,0.5833333333333333,0.6666666666666666,0.5666666666666667,0.2857142857142857
122,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
127,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
128,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
130,0.5,0.5,0.4857142857142857,0.5,0.5142857142857142,0.0
131,1.0,1.0,1.0,1.0,1.0,
133,0.4166666666666667,0.35714285714285715,0.29411764705882354,0.35714285714285715,0.34313725490196084,-0.3124999999999998
136,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
138,0.4444444444444444,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.4786324786324787,-0.36363636363636354
139,1.0,1.0,1.0,1.0,1.0,
142,1.0,1.0,1.0,1.0,1.0,
144,0.5,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.5,-0.028571428571428692
147,0.4,0.41666666666666663,0.4,0.41666666666666663,0.4,-0.15384615384615374
148,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
150,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.4166666666666667,0.9090909090909091,0.0
155,0.4,0.4,0.2857142857142857,0.2,0.5714285714285714,0.0
164,1.0,1.0,1.0,1.0,1.0,
167,1.0,1.0,1.0,1.0,1.0,
170,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
171,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,1.0,1.0,
25,1.0,1.0,1.0,1.0,1.0,
29,0.75,0.75,0.42857142857142855,0.375,0.8571428571428571,0.0
31,1.0,1.0,1.0,1.0,1.0,
35,0.0,0.0,0.0,0.0,0.0,0.0
40,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
41,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337
44,0.0,0.0,0.0,0.0,0.0,0.0
47,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
48,1.0,1.0,1.0,1.0,1.0,
49,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
52,1.0,1.0,1.0,1.0,1.0,
53,1.0,1.0,1.0,1.0,1.0,
55,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
56,0.2,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.2333333333333333,-0.6000000000000001
58,0.5454545454545454,0.5333333333333333,0.5299145299145299,0.5333333333333333,0.5376845376845377,0.06779661016949146
61,0.25,0.25,0.2,0.125,0.4,0.0
63,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
65,0.8,0.8,0.4444444444444444,0.4,0.888888888888889,0.0
67,0.6,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6,0.16666666666666663
70,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,1.0,1.0,1.0,1.0,
76,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
77,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
84,1.0,1.0,1.0,1.0,1.0,
87,0.42857142857142855,0.6,0.41666666666666663,0.6,0.38095238095238093,0.1250000000000001
89,0.625,0.625,0.6190476190476191,0.625,0.6190476190476191,0.25
93,0.6,0.6160714285714286,0.5833333333333333,0.6160714285714286,0.5777777777777777,0.22413793103448265
94,0.8,0.8,0.4444444444444444,0.4,0.888888888888889,0.0
95,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
97,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
98,1.0,1.0,1.0,1.0,1.0,
99,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
