subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
100,0.6,0.625,0.6,0.625,0.6,0.23076923076923084
101,0.3333333333333333,0.25,0.25,0.25,0.3333333333333333,-0.5
103,1.0,1.0,1.0,1.0,1.0,
104,0.42105263157894735,0.48717948717948717,0.42105263157894735,0.48717948717948717,0.42105263157894735,-0.019512195121951015
106,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8,0.0
108,1.0,1.0,1.0,1.0,1.0,
109,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.3999999999999999
110,0.5555555555555556,0.5555555555555556,0.35714285714285715,0.2777777777777778,0.7142857142857143,0.0
112,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
113,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
114,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
115,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
117,1.0,1.0,1.0,1.0,1.0,
118,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
120,0.4166666666666667,0.4166666666666667,0.29411764705882354,0.20833333333333334,0.5882352941176471,0.0
121,0.6,0.6666666666666666,0.5833333333333333,0.6666666666666666,0.5666666666666667,0.2857142857142857
122,0.0,0.0,0.0,0.0,0.0,0.0
127,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
128,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
130,0.6666666666666666,0.625,0.625,0.625,0.6666666666666666,0.25
131,1.0,1.0,1.0,1.0,1.0,
133,0.5833333333333334,0.5,0.3684210526315789,0.5,0.4298245614035088,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0
138,0.5555555555555556,0.5357142857142857,0.5,0.5357142857142857,0.5925925925925926,0.052631578947368474
139,1.0,1.0,1.0,1.0,1.0,
142,1.0,1.0,1.0,1.0,1.0,
144,0.5,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.5,-0.028571428571428692
147,0.4,0.41666666666666663,0.4,0.41666666666666663,0.4,-0.15384615384615374
148,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
150,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.4166666666666667,0.9090909090909091,0.0
155,0.6,0.6,0.375,0.3,0.75,0.0
164,1.0,1.0,1.0,1.0,1.0,
167,1.0,1.0,1.0,1.0,1.0,
170,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
171,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
174,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
19,1.0,1.0,1.0,1.0,1.0,
25,1.0,1.0,1.0,1.0,1.0,
29,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
31,1.0,1.0,1.0,1.0,1.0,
35,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
40,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
41,0.5,0.5,0.4857142857142857,0.5,0.48571428571428577,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
47,0.25,0.25,0.2,0.125,0.4,0.0
48,1.0,1.0,1.0,1.0,1.0,
49,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
52,1.0,1.0,1.0,1.0,1.0,
53,1.0,1.0,1.0,1.0,1.0,
55,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
56,0.2,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.2333333333333333,-0.6000000000000001
58,0.45454545454545453,0.45,0.45,0.45,0.45454545454545453,-0.10000000000000009
61,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
63,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
65,0.8,0.8,0.4444444444444444,0.4,0.888888888888889,0.0
67,0.6,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6,0.16666666666666663
70,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.08333333333333333,0.2857142857142857,0.0
72,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
73,1.0,1.0,1.0,1.0,1.0,
76,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
77,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
84,1.0,1.0,1.0,1.0,1.0,
87,0.5714285714285714,0.7,0.5714285714285714,0.7,0.5714285714285714,0.2758620689655171
89,0.625,0.625,0.6190476190476191,0.625,0.6190476190476191,0.25
93,0.8,0.8125,0.7963800904977376,0.8125,0.7945701357466064,0.6086956521739131
94,0.8,0.8,0.4444444444444444,0.4,0.888888888888889,0.0
95,0.25,0.25,0.2,0.125,0.4,0.0
97,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
98,1.0,1.0,1.0,1.0,1.0,
99,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
