participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
S10,1.0,1.0,1.0,1.0,1.0,103,CatBoostClassifier
S11,0.7843137254901961,0.6517857142857143,0.6416666666666666,0.6634615384615384,0.920950279761634,102,CatBoostClassifier
S13,0.9607843137254902,0.9411067193675889,0.9598214285714286,0.9309440559440559,0.9995738636363636,102,CatBoostClassifier
S14,0.9803921568627451,0.9744134536505331,0.9791666666666666,0.9715099715099715,1.0,102,CatBoostClassifier
S15,0.9900990099009901,0.9897274633123689,0.9907407407407407,0.9891304347826086,1.0,101,CatBoostClassifier
S16,0.9797979797979798,0.968013468013468,0.9821428571428572,0.9583333333333334,1.0,99,CatBoostClassifier
S17,0.97,0.9574648041034595,0.9722222222222222,0.9483333333333334,1.0,100,CatBoostClassifier
S2,0.8958333333333334,0.8483455882352942,0.8863636363636364,0.8809523809523809,0.9979365079365079,96,CatBoostClassifier
S3,0.98989898989899,0.9844444444444445,0.9891304347826086,0.9807692307692308,0.9980679996536234,99,CatBoostClassifier
S4,0.98989898989899,0.9833164812942365,0.9886363636363636,0.9791666666666666,1.0,99,CatBoostClassifier
S5,0.98989898989899,0.9892840857273142,0.9886363636363636,0.9903846153846154,1.0,99,CatBoostClassifier
S6,0.98989898989899,0.9844134536505331,0.9907407407407407,0.9791666666666666,1.0,99,CatBoostClassifier
S7,0.9797979797979798,0.9755639097744362,0.9666666666666667,0.9871794871794872,1.0,99,CatBoostClassifier
S8,1.0,1.0,1.0,1.0,1.0,100,CatBoostClassifier
S9,0.9494949494949495,0.9350424981522542,0.9363095238095238,0.9341931216931216,0.9859675011734399,99,CatBoostClassifier
