participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
S10,0.970873786407767,0.9613752319109462,0.9778048780487805,0.949404761904762,1.0,103,LogisticRegression
S11,0.8627450980392157,0.725481276371308,0.7894736842105263,0.7533653846153847,0.9029876596358183,102,LogisticRegression
S13,0.9313725490196079,0.9011416097952629,0.90868006993007,0.8983084045584045,0.9974915193804134,102,LogisticRegression
S14,0.8137254901960784,0.6830040526849037,0.6930147058823529,0.7044159544159545,0.9362743097691599,102,LogisticRegression
S15,0.7623762376237624,0.6271644387116948,0.6317476383265858,0.6411649944258639,0.8923622444642781,101,LogisticRegression
S16,0.9595959595959596,0.9360269360269361,0.9482142857142857,0.9278846153846154,0.9970784935947902,99,LogisticRegression
S17,0.94,0.9226999605988968,0.9300595238095238,0.9179166666666667,0.9955841108452951,100,LogisticRegression
S2,0.7291666666666666,0.6932142857142857,0.7086641852770885,0.7221177944862156,0.9176236705370354,96,LogisticRegression
S3,0.9191919191919192,0.8775252525252525,0.8847402597402597,0.8732517482517483,0.9850647159032864,99,LogisticRegression
S4,0.9595959595959596,0.9424679487179488,0.9461382113821138,0.9398148148148149,0.9851495726495727,99,LogisticRegression
S5,0.7676767676767676,0.6918047707787311,0.7194002447980415,0.6822344322344323,0.9319495848192116,99,LogisticRegression
S6,0.9797979797979798,0.9744444444444444,0.9698996655518395,0.9807692307692308,0.9968988328105002,99,LogisticRegression
S7,0.8282828282828283,0.7956738250855898,0.8244047619047619,0.8191391941391941,0.9862208028423384,99,LogisticRegression
S8,0.75,0.7361826532414768,0.8067202194357368,0.7611482720178373,0.9463546611399427,100,LogisticRegression
S9,0.6565656565656566,0.5492784992784993,0.5948067632850241,0.52004477004477,0.8258714155505343,99,LogisticRegression
