participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
S10,0.9902912621359223,0.990294886151549,0.9913793103448276,0.9895833333333334,1.0,103,RandomForest
S11,0.8529411764705882,0.6904761904761905,0.6621621621621622,0.7307692307692308,0.8911701655824955,102,RandomForest
S13,0.9313725490196079,0.8847402597402597,0.935515873015873,0.8732517482517482,0.9960787106152276,102,RandomForest
S14,0.9313725490196079,0.8859692933777283,0.9396551724137931,0.8753561253561253,0.9865160287936505,102,RandomForest
S15,0.8514851485148515,0.7363095238095239,0.8174651924651924,0.7474916387959867,0.9821402148576062,101,RandomForest
S16,0.8888888888888888,0.7448107448107448,0.9256756756756757,0.7708333333333334,0.9939653406085858,99,RandomForest
S17,0.95,0.9276700041718815,0.9305555555555556,0.9283333333333333,0.9961747408293461,100,RandomForest
S2,0.78125,0.7203570029656987,0.787037037037037,0.6938095238095239,0.9645576315069283,96,RandomForest
S3,0.9494949494949495,0.9323274764451235,0.9310897435897436,0.9370629370629371,0.9849620516903815,99,RandomForest
S4,0.9696969696969697,0.9522217607973422,0.9764412416851441,0.9375,0.9979645593869733,99,RandomForest
S5,0.8686868686868687,0.6925987449243263,0.6575552825552826,0.7403846153846154,0.9956595014312303,99,RandomForest
S6,0.9393939393939394,0.8997345609887604,0.9432142857142857,0.8862179487179488,0.9955578114086616,99,RandomForest
S7,0.9797979797979798,0.9712851285725659,0.9844907407407407,0.9615384615384616,1.0,99,RandomForest
S8,0.93,0.908248111699758,0.9261363636363636,0.8952759197324415,0.9851958041635296,100,RandomForest
S9,0.8484848484848485,0.6656089193825042,0.6305803571428572,0.7169312169312169,0.9778183803566944,99,RandomForest
