participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
S10,0.970873786407767,0.9578976334617502,0.9647727272727272,0.951923076923077,0.9993418040293041,103,TorchBiLSTMAttention
S11,0.8333333333333334,0.6983203820533446,0.7325581395348837,0.717391304347826,0.9372579025579655,102,TorchBiLSTMAttention
S13,0.9215686274509803,0.877420386279543,0.9538373860182371,0.8540209790209791,0.994913069830688,102,TorchBiLSTMAttention
S14,0.8823529411764706,0.7583782569631625,0.9117647058823529,0.7792022792022791,0.9919492024829104,102,TorchBiLSTMAttention
S15,0.7524752475247525,0.6614832535885167,0.7083333333333334,0.6553790412486065,0.9249502128306476,101,TorchBiLSTMAttention
S16,0.9696969696969697,0.9599572269144756,0.9752314814814815,0.9487179487179488,0.9981559536354057,99,TorchBiLSTMAttention
S17,0.95,0.9329131652661065,0.9600271002710027,0.9175,0.9997632575757576,100,TorchBiLSTMAttention
S2,0.8020833333333334,0.8175453514739229,0.8291666666666667,0.8647368421052631,0.9632893367464315,96,TorchBiLSTMAttention
S3,1.0,1.0,1.0,1.0,1.0,99,TorchBiLSTMAttention
S4,0.9292929292929293,0.8975274725274726,0.9354166666666667,0.8773148148148149,0.9952107279693486,99,TorchBiLSTMAttention
S5,0.8484848484848485,0.7362856969274689,0.7553030303030303,0.7469551282051282,0.9600320361420975,99,TorchBiLSTMAttention
S6,0.9797979797979798,0.9707692307692308,0.9642857142857143,0.9807692307692308,0.9993653836060543,99,TorchBiLSTMAttention
S7,0.8585858585858586,0.8260482385840465,0.8303030303030303,0.8351648351648352,0.9837007131129463,99,TorchBiLSTMAttention
S8,0.98,0.9710227272727273,0.9878048780487805,0.9583333333333334,0.9978693181818181,100,TorchBiLSTMAttention
S9,0.9595959595959596,0.9449552772808587,0.9401748251748252,0.9513888888888888,0.9942573080743577,99,TorchBiLSTMAttention
