participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
S10,0.941747572815534,0.8988095238095238,0.9666666666666667,0.875,0.9933751144688645,103,TorchMLP
S11,0.803921568627451,0.6663269684617035,0.6515151515151515,0.6860576923076923,0.8523563295977977,102,TorchMLP
S13,0.9607843137254902,0.9445802076229446,0.959830866807611,0.933048433048433,0.9975223569018875,102,TorchMLP
S14,0.9019607843137255,0.7974537037037037,0.921875,0.8076923076923077,0.9806692955920484,102,TorchMLP
S15,0.8118811881188119,0.7235761226725083,0.774816715542522,0.7186454849498328,0.9273719215567041,101,TorchMLP
S16,0.9393939393939394,0.8908045977011494,0.953125,0.875,0.9934983992022253,99,TorchMLP
S17,0.87,0.7039990827791791,0.6757692307692308,0.74,0.9737161857591646,100,TorchMLP
S2,0.8020833333333334,0.7893010202146623,0.7926136363636364,0.832781954887218,0.9477954485838199,96,TorchMLP
S3,0.9393939393939394,0.9214997964997965,0.9379870129870129,0.909965034965035,0.9839011080629303,99,TorchMLP
S4,0.9393939393939394,0.9100076752515778,0.9267441860465115,0.8981481481481481,0.9815318302387268,99,TorchMLP
S5,0.8787878787878788,0.7380509458847615,0.7992424242424243,0.7589285714285714,0.9714184462943001,99,TorchMLP
S6,0.9595959595959596,0.943965309477304,0.950153162055336,0.9391025641025641,0.9930964022093194,99,TorchMLP
S7,0.8888888888888888,0.8666731666731666,0.8728991596638656,0.8763736263736265,0.9920270253975255,99,TorchMLP
S8,0.79,0.743467385379444,0.7839285714285714,0.7367614269788183,0.9293788885567663,100,TorchMLP
S9,0.8282828282828283,0.6480701754385965,0.6132183908045977,0.6931216931216931,0.8732864269262737,99,TorchMLP
