,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.654483048214397,0.0079885355088225,0.5,0.3955675067857805,0.00291844855592,0.5,0.5178310828572328,0.0,0.6470588235294118,0.5,0.3928571428571428,0.0,85.0
RandomForest,0.887174639013492,0.0739120618001069,0.8579962140053229,0.8689008150201352,0.083583580495219,0.8579962140053229,0.8838580912456813,0.7398361997280758,0.8588235294117647,0.8227272727272728,0.8371647509578544,0.6761904761904762,85.0
LogisticRegression,0.8435802521571402,0.0866981324597621,0.8335863868982284,0.8279254512038718,0.0962975341626057,0.8335863868982284,0.8437263363177312,0.656937355783946,0.8352941176470589,0.812121212121212,0.8168103448275862,0.6338461538461538,85.0
XGBoost,0.8759619963995257,0.1091511324927163,0.8539476018912476,0.8610200688209971,0.1132913648658545,0.8539476018912476,0.874309786936217,0.7254577914718,0.8352941176470589,0.8045454545454545,0.8135964912280702,0.628125,85.0
Conformer,0.8243999238968253,0.13571795771710682,0.8111253818694557,0.8058381553795595,0.14206874545253298,0.8111253818694557,0.8203614451604806,0.6258584425231969,0.8352941176470589,0.812121212121212,0.8168103448275862,0.6338461538461538,85.0
TinyTCN,0.8219890917561202,0.10880641823596728,0.8046397923159337,0.804447367245567,0.10563627545106889,0.8046397923159337,0.8194201883190986,0.6206610694927669,0.788235294117647,0.7530303030303029,0.7603383458646616,0.5218750000000001,85.0
BiLSTM,0.831634585717281,0.09108359257670229,0.8201603005386477,0.8142290779746043,0.09600395526563321,0.8201603005386477,0.8307232808689864,0.6334133710840947,0.8352941176470589,0.812121212121212,0.8168103448275862,0.6338461538461538,85.0
CNN1D,0.822726450110269,0.13539989450588816,0.8127419910532837,0.8070238380946525,0.1352908817550963,0.8127419910532837,0.8190042423872638,0.6321545913885842,0.8352941176470589,0.8196969696969697,0.8196969696969697,0.6393939393939394,85.0
TSTCC,0.8059462148860993,0.09930157864970628,0.785335119653052,0.7819069179111728,0.1052764426451917,0.785335119653052,0.8025094713303081,0.5717675823523638,0.7764705882352941,0.7515151515151515,0.753397465261872,0.5068702290076337,85.0
DANN_Conformer,0.8400599334062474,0.13058263214507346,0.8227274413531547,0.8214238086786007,0.1357894742953577,0.8227274413531547,0.8355029386320699,0.6566456366412498,0.8588235294117647,0.8378787878787879,0.8429802955665024,0.6861538461538461,85.0
