subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8543689320388349,0.625,0.6108873974645787,0.625,0.8024760539519123,0.6649316851008458
S11,0.7254901960784313,0.5909090909090909,0.5948717948717949,0.5909090909090909,0.7331825037707391,0.47653958944281516
S13,0.696078431372549,0.4957033016734509,0.5213282247765006,0.4957033016734509,0.6841860115693787,0.3329113924050633
S14,0.7745098039215687,0.5253279059249208,0.4980386315109986,0.5253279059249208,0.747335430522574,0.5359050445103858
S15,0.6435643564356436,0.6120401337792641,0.5659386251632501,0.6120401337792641,0.6440823704423823,0.38121170864533693
S16,0.6464646464646465,0.5487179487179487,0.5490338164251208,0.5487179487179487,0.6832820963255745,0.3924250394529195
S17,0.77,0.609375,0.5273464146703583,0.609375,0.7420825809558204,0.5802919708029197
S2,0.75,0.7116402116402116,0.657046657046657,0.7116402116402116,0.7754329004329005,0.5570934256055363
S3,0.7474747474747475,0.6047129953379953,0.570499014420583,0.6047129953379953,0.7509565621983922,0.54344216934145
S4,0.6868686868686869,0.3650793650793651,0.3635265700483092,0.3650793650793651,0.6480017566974089,0.299794661190965
S5,0.8080808080808081,0.6313131313131314,0.6052864410528644,0.6313131313131314,0.7766885845850675,0.5885826771653544
S6,0.7272727272727273,0.5823232323232324,0.5470679012345679,0.5823232323232324,0.7049897119341564,0.4604360113039968
S7,0.7777777777777778,0.6205128205128205,0.5764793055996612,0.6205128205128205,0.7383264207652903,0.5383637134378975
S8,0.65,0.5018952062430323,0.47696476964769646,0.5018952062430323,0.6500813008130082,0.3500464252553388
S9,0.8686868686868687,0.8802308802308803,0.8380298903554717,0.8802308802308803,0.8738484784996413,0.7460035523978685
