subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.883495145631068,0.6666666666666666,0.6392694063926941,0.6666666666666666,0.8300305891740923,0.7392405063291139
S11,0.7352941176470589,0.5959595959595959,0.5595028381287923,0.5959595959595959,0.7131676510886209,0.48455923638405396
S13,0.8431372549019608,0.6724071947952545,0.6391938997821351,0.6724071947952545,0.812529155453031,0.6799999999999999
S14,0.8431372549019608,0.6212121212121212,0.5679012345679012,0.6212121212121212,0.808641975308642,0.6844547563805103
S15,0.26732673267326734,0.45195094760312154,0.28631677600749766,0.45195094760312154,0.26627353456995184,0.09009009009009017
S16,0.7676767676767676,0.7688034188034187,0.7272657272657272,0.7688034188034187,0.7955834622501289,0.5960617349654072
S17,0.97,0.984375,0.959556253270539,0.984375,0.9705112715855573,0.9436936936936937
S2,0.5416666666666666,0.7037037037037037,0.5565214355536936,0.7037037037037037,0.5775064149560117,0.36
S3,0.8787878787878788,0.7232298951048951,0.7423982200710411,0.7232298951048951,0.8530257491184928,0.7413455258001307
S4,0.7474747474747475,0.47113997113997114,0.503030303030303,0.47113997113997114,0.7333333333333333,0.434156378600823
S5,0.7878787878787878,0.6212121212121212,0.5996632996632997,0.6212121212121212,0.7654423018059382,0.5557692307692308
S6,0.9191919191919192,0.876184926184926,0.9060703434104967,0.876184926184926,0.9162223586776017,0.8307692307692307
S7,0.696969696969697,0.5794871794871795,0.5873015873015873,0.5794871794871795,0.7123617123617123,0.42597603401623507
S8,0.69,0.5505016722408027,0.5061956986184305,0.5505016722408027,0.6880985614584817,0.4406351497654276
S9,0.7676767676767676,0.556998556998557,0.5230305862803136,0.556998556998557,0.7492151614289018,0.5306122448979591
