,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.1240838357012933,0.0044184149066882,0.3333333333333332,0.073581936518626,0.0023292871329143,0.3333333333333332,0.0274218618467084,0.0,0.1764705882352941,0.3333333333333333,0.0999999999999999,0.0,85.0
RandomForest,0.8569531403930418,0.048848783003923,0.6837138393768287,0.6743575354639844,0.1039142875918887,0.6837138393768287,0.8243819714187866,0.6915582406982127,0.8117647058823529,0.6767676767676768,0.6601851851851852,0.5940298507462687,85.0
LogisticRegression,0.7922385581838216,0.1059410565631163,0.7382434329776423,0.7116350880678398,0.1408932574976605,0.7382434329776423,0.8064907546232505,0.6245774069182695,0.8352941176470589,0.8020202020202021,0.7818937033890304,0.6925064599483204,85.0
XGBoost,0.8626714702547733,0.0816490084629727,0.7164899258465396,0.7120075042270492,0.1512694125108395,0.7164899258465396,0.8404395165363927,0.7113529380837633,0.8588235294117647,0.7656565656565656,0.7732244607244607,0.7060518731988472,85.0
Conformer,0.8207255817005649,0.10350945814660549,0.672709916644591,0.6384454043326173,0.11223080867366088,0.672709916644591,0.7929398569812809,0.6507448947485952,0.8117647058823529,0.6929292929292931,0.6681159420289854,0.6169014084507043,85.0
TinyTCN,0.7559809158719032,0.1659952922662397,0.6562555314074889,0.6202145072896301,0.15992255428019078,0.6562555314074889,0.7461295488380333,0.5691575874974605,0.788235294117647,0.6969696969696969,0.6929118058150316,0.5876010781671159,85.0
BiLSTM,0.7555468097495072,0.11461275413424601,0.6200366671126999,0.5982022734500164,0.1268027209264071,0.6200366671126999,0.7507548801735908,0.5378816538641087,0.7058823529411765,0.6060606060606061,0.5649325214542605,0.43333333333333324,85.0
CNN1D,0.8000808645922655,0.11027547274198304,0.6722445963548874,0.6492165525650889,0.11862879202570643,0.6722445963548874,0.7854058783811009,0.6168382950892443,0.8117647058823529,0.6929292929292931,0.6882806560225915,0.6080691642651297,85.0
TSTCC,0.7417758654982194,0.06790948233775278,0.5936520815790229,0.5668230302858942,0.09814241050777614,0.5936520815790229,0.7303301842309496,0.49653193773724624,0.7058823529411765,0.6222222222222222,0.5769209576549027,0.43931398416886547,85.0
DANN_Conformer,0.7899735475213236,0.10057532713707404,0.6390117016998911,0.6146524806504807,0.11756796537384831,0.6390117016998911,0.770697513984849,0.5855196518130892,0.7647058823529411,0.6363636363636364,0.6134746479574066,0.5156695156695157,85.0
