subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9805825242718447,0.9583333333333333,0.9720108695652174,0.9583333333333333,0.9802817644575771,0.9440521455730582
S11,0.8529411764705882,0.8126031920748487,0.7985516787360105,0.8126031920748487,0.856019827285753,0.5975802209363492
S13,0.9705882352941176,0.9482954545454545,0.955799508883432,0.9482954545454545,0.9703375789142755,0.9116117850953206
S14,0.8235294117647058,0.8051136363636364,0.7677125506072875,0.8051136363636364,0.8324601095498929,0.5391566265060241
S15,0.9207920792079208,0.8260869565217391,0.8703465982028241,0.8260869565217391,0.9143863038421942,0.7433290978398983
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.93,0.9539473684210527,0.9122257053291536,0.9539473684210527,0.9327648902821317,0.8255234297108673
S2,0.9583333333333334,0.9219047619047619,0.9368421052631579,0.9219047619047619,0.9575657894736843,0.873767258382643
S3,0.898989898989899,0.8863636363636364,0.8625,0.8863636363636364,0.9018518518518518,0.725609756097561
S4,0.98989898989899,0.9935897435897436,0.9851462865716429,0.9935897435897436,0.989983859601264,0.9702970297029703
S5,0.9696969696969697,0.9807692307692308,0.9568627450980391,0.9807692307692308,0.970409982174688,0.9138381201044387
S6,0.8888888888888888,0.9285714285714286,0.8615384615384616,0.9285714285714286,0.8957264957264959,0.7272727272727273
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.77,0.7286843591191418,0.7047875754075215,0.7286843591191418,0.7797124887690927,0.41326530612244905
S9,0.8787878787878788,0.9230769230769231,0.8472222222222222,0.9230769230769231,0.8872053872053871,0.7
