subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,0.8823529411764706,0.7391304347826086,0.7882352941176471,0.7391304347826086,0.8657439446366783,0.5867656988521269
S13,1.0,1.0,1.0,1.0,1.0,1.0
S14,0.8529411764705882,0.8732954545454545,0.813300793166565,0.8732954545454545,0.8622187129885512,0.6320346320346321
S15,0.6831683168316832,0.4576365663322185,0.4341736694677871,0.4576365663322185,0.6385722605874034,-0.10382513661202197
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.9375,0.8742857142857143,0.9015721120984279,0.8742857142857143,0.9350222146274779,0.803680981595092
S3,1.0,1.0,1.0,1.0,1.0,1.0
S4,0.898989898989899,0.7793040293040293,0.8224533715925395,0.7793040293040293,0.8895700186948393,0.648936170212766
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.8585858585858586,0.698051948051948,0.7390813253012047,0.698051948051948,0.8371820615796519,0.49193548387096775
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.74,0.7854319593450028,0.7060153776571687,0.7854319593450028,0.7599909543193125,0.43747295543054954
S9,0.8181818181818182,0.7628205128205128,0.745137299771167,0.7628205128205128,0.8236946120241314,0.49143835616438347
