subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9805825242718447,0.9873417721518987,0.9735897435897436,0.9873417721518987,0.9808464027881504,0.9472065607380831
S11,0.9215686274509803,0.8569069895432031,0.8800705467372134,0.8569069895432031,0.9188020887367292,0.7607038123167156
S13,0.9803921568627451,0.9875,0.9719317556411669,0.9875,0.9806943140492301,0.9438943894389439
S14,0.8333333333333334,0.8278409090909091,0.7833312507809571,0.8278409090909091,0.8425173893123411,0.5710044532409697
S15,0.9306930693069307,0.8478260869565217,0.8887840176183734,0.8478260869565217,0.9259614021808034,0.7792694349047767
S16,0.9595959595959596,0.974025974025974,0.9450000000000001,0.974025974025974,0.9607407407407409,0.8902439024390244
S17,0.89,0.9276315789473684,0.8677725688183676,0.9276315789473684,0.8959634571462917,0.7393364928909953
S2,0.9583333333333334,0.9219047619047619,0.9368421052631579,0.9219047619047619,0.9575657894736843,0.873767258382643
S3,0.9191919191919192,0.9155844155844155,0.89,0.9155844155844155,0.9214814814814815,0.7804878048780488
S4,0.9797979797979798,0.9523809523809523,0.9686708860759494,0.9523809523809523,0.9794207901802839,0.937381404174573
S5,0.98989898989899,0.9935897435897436,0.9851462865716429,0.9935897435897436,0.989983859601264,0.9702970297029703
S6,0.9090909090909091,0.8928571428571428,0.8744539946456249,0.8928571428571428,0.9110891926165986,0.7492260061919505
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.69,0.7224731789949181,0.6521153630344518,0.7224731789949181,0.7141084053417124,0.3370402053036784
S9,0.8787878787878788,0.9230769230769231,0.8472222222222222,0.9230769230769231,0.8872053872053871,0.7
