subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9902912621359223,0.9936708860759493,0.9866112049915507,0.9936708860759493,0.9903594113422995,0.9732258903041331
S11,0.9705882352941176,0.9656026417171162,0.9585309662555902,0.9656026417171162,0.9708074583675455,0.9170731707317074
S13,0.9803921568627451,0.9875,0.9719317556411669,0.9875,0.9806943140492301,0.9438943894389439
S14,0.8431372549019608,0.8505681818181818,0.7985185185185185,0.8505681818181818,0.8524328249818446,0.6019512195121951
S15,0.9702970297029703,0.9654403567447045,0.9584076870281399,0.9654403567447045,0.970517202715467,0.9168267911062311
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.95,0.9528508771929824,0.9342018686669299,0.9528508771929824,0.9509672325305962,0.8685594111461619
S2,0.7604166666666666,0.6923809523809523,0.676008804108584,0.6923809523809523,0.769029713866471,0.3543859649122807
S3,0.9090909090909091,0.8766233766233766,0.8705882352941177,0.8766233766233766,0.9098039215686273,0.7412140575079873
S4,0.9797979797979798,0.9523809523809523,0.9686708860759494,0.9523809523809523,0.9794207901802839,0.937381404174573
S5,0.98989898989899,0.9761904761904762,0.9846201646729843,0.9761904761904762,0.9898079756709554,0.9692451071761417
S6,0.9595959595959596,0.974025974025974,0.9450000000000001,0.974025974025974,0.9607407407407409,0.8902439024390244
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.87,0.7631281761716544,0.7929606625258798,0.7631281761716544,0.861159420289855,0.5891276864728192
S9,0.7676767676767676,0.6785714285714286,0.6692810457516339,0.6785714285714286,0.7731431966726083,0.33942558746736295
