subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9805825242718447,0.9873417721518987,0.9735897435897436,0.9873417721518987,0.9808464027881504,0.9472065607380831
S11,0.9313725490196079,0.9402861860209136,0.9084967320261439,0.9402861860209136,0.93361527617583,0.8175779253960143
S13,1.0,1.0,1.0,1.0,1.0,1.0
S14,0.8627450980392157,0.9125,0.831365139348134,0.9125,0.8727296303500143,0.6703601108033241
S15,0.801980198019802,0.5652173913043478,0.5585664335664335,0.5652173913043478,0.7370698608322371,0.18810289389067525
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.93,0.9539473684210527,0.9122257053291536,0.9539473684210527,0.9327648902821317,0.8255234297108673
S2,0.90625,0.8200000000000001,0.8493461203138623,0.8200000000000001,0.901427637314734,0.7
S3,1.0,1.0,1.0,1.0,1.0,1.0
S4,0.7878787878787878,0.5,0.4406779661016949,0.5,0.6944016435541859,0.0
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.9292929292929293,0.922077922077922,0.9023531069465971,0.922077922077922,0.9308471498129101,0.804953560371517
S7,0.98989898989899,0.9935897435897436,0.9851462865716429,0.9935897435897436,0.989983859601264,0.9702970297029703
S8,0.58,0.6815358554488989,0.565936337329475,0.6815358554488989,0.60812732534105,0.23441487422530072
S9,0.7676767676767676,0.5219780219780219,0.50682261208577,0.5219780219780219,0.7133321519286432,0.059479553903345694
