,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.2214331160843096,0.0082870325375777,0.5,0.1812520627036743,0.00553219741612,0.5,0.0803621067612707,0.0,0.188235294117647,0.5,0.1584158415841584,0.0,85.0
RandomForest,0.9582701485834856,0.0498267724521707,0.9225841374708292,0.9322415514867354,0.084977772718293,0.9225841374708292,0.9557401515156309,0.8656576091133449,0.9882352941176472,0.96875,0.9802738454397772,0.9605568445475638,85.0
LogisticRegression,0.9294122141083324,0.0788558992503757,0.9085956186595834,0.9010221199687364,0.1097246931795227,0.9085956186595834,0.9305922801984348,0.8028369721593039,0.9647058823529412,0.9542572463768116,0.9435965494359656,0.887218045112782,85.0
XGBoost,0.9587770007392896,0.0606420736090303,0.9347067460888971,0.9380020943549,0.0916309731726453,0.9347067460888971,0.9581994714259108,0.8762205542168583,0.976470588235294,0.9615036231884058,0.9615036231884058,0.9230072463768116,85.0
Conformer,0.9286592588251782,0.056202257557852756,0.9089689883010423,0.8986515776528481,0.07871390641741242,0.9089689883010423,0.9289335290412003,0.7991209772007158,0.9529411764705882,0.9230072463768115,0.9230072463768115,0.8460144927536232,85.0
TinyTCN,0.8978451896065296,0.11569025076882239,0.8532316173995198,0.8289684122139102,0.19633770274460843,0.8532316173995198,0.8863430551987433,0.6811943959161401,0.9058823529411765,0.8460144927536232,0.8460144927536232,0.6920289855072463,85.0
BiLSTM,0.9222019591070091,0.06697941802275374,0.911156001643662,0.8954364204949982,0.08657436380447911,0.911156001643662,0.924580421942286,0.7923535668896203,0.9058823529411765,0.8940217391304348,0.8590381426202323,0.71900826446281,85.0
CNN1D,0.9107813340157546,0.10043737326462493,0.8642251781399378,0.8624302602174473,0.15849981051360357,0.8642251781399378,0.9068042471794393,0.7307608076347647,0.9294117647058824,0.8845108695652174,0.8845108695652174,0.7690217391304348,85.0
TSTCC,0.9038772068716483,0.0670841165860575,0.8773649914159066,0.8582540336970098,0.11680255724328255,0.8773649914159066,0.902078516365505,0.7242020233676951,0.9058823529411765,0.8940217391304348,0.8590381426202323,0.71900826446281,85.0
DANN_Conformer,0.9214177787281869,0.07678205896157915,0.9153960286069821,0.8976620493999249,0.08794453944050043,0.9153960286069821,0.9244253800569798,0.7986572503068915,0.9294117647058824,0.9085144927536232,0.8897058823529411,0.7796024200518583,85.0
