subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.7475728155339806,0.6710199004975125,0.6811904761904761,0.6710199004975125,0.724974572353213,0.3812384473197782
S11,0.696078431372549,0.6704545454545454,0.6693506221896894,0.6704545454545454,0.6970000799650614,0.3387703889585947
S13,0.9215686274509803,0.8857142857142857,0.9073148568832349,0.8857142857142857,0.9187178733374313,0.8159675236806495
S14,0.9901960784313726,0.9857142857142858,0.9890499194847021,0.9857142857142858,0.9901613463420795,0.9781021897810219
S15,0.8415841584158416,0.8583333333333334,0.8357723577235773,0.8583333333333334,0.8446430008854544,0.6748490945674044
S16,0.8787878787878788,0.8445701357466064,0.8591081593927894,0.8445701357466064,0.8755965729400265,0.7194142654700048
S17,0.94,0.9348958333333333,0.9348958333333333,0.9348958333333333,0.94,0.8697916666666666
S2,0.6770833333333334,0.753968253968254,0.6770482908301683,0.753968253968254,0.6759970157352143,0.41509433962264153
S3,0.9595959595959596,0.96875,0.9568439407149085,0.96875,0.9600362826169277,0.9138381201044387
S4,0.8686868686868687,0.8106060606060606,0.8363636363636364,0.8106060606060606,0.8606060606060606,0.6776859504132231
S5,0.8383838383838383,0.7878787878787878,0.8049261083743842,0.7878787878787878,0.8318555008210181,0.6129032258064516
S6,0.9292929292929293,0.9391402714932127,0.924054794520548,0.9391402714932127,0.9303002629030026,0.8485245901639344
S7,0.8282828282828283,0.778054298642534,0.7947811242531398,0.778054298642534,0.8207449448761484,0.5935764308138132
S8,0.54,0.5736263736263736,0.5383380168606985,0.5736263736263736,0.546647932557206,0.12713472485768507
S9,0.9292929292929293,0.9242424242424243,0.9210436367779424,0.9242424242424243,0.9295507196840227,0.8421052631578947
