subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8640776699029126,0.8055555555555556,0.8320130475302889,0.8055555555555556,0.8541020096092075,0.6715261958997722
S11,0.8333333333333334,0.7891414141414141,0.8047956771361027,0.7891414141414141,0.8267477203647416,0.6131191432396251
S13,0.9803921568627451,0.9714285714285714,0.9779411764705883,0.9714285714285714,0.9802479815455594,0.9559014267185474
S14,0.9901960784313726,0.9925373134328358,0.9891983479826326,0.9925373134328358,0.9902282632845576,0.9783989834815756
S15,0.8712871287128713,0.8256410256410256,0.8473433321706778,0.8256410256410256,0.8647025846637681,0.6989222655354277
S16,0.9494949494949495,0.9264705882352942,0.9417989417989417,0.9264705882352942,0.9484260595371705,0.8839390386869871
S17,0.99,0.9921875,0.9892136770574911,0.9921875,0.9900291230719448,0.9784296807592753
S2,0.8020833333333334,0.7626262626262625,0.7717432111125015,0.7626262626262625,0.7977490301589287,0.5449101796407185
S3,0.9595959595959596,0.9493303571428571,0.9552036199095022,0.9493303571428571,0.9593125828419946,0.9104477611940298
S4,0.8686868686868687,0.8106060606060606,0.8363636363636364,0.8106060606060606,0.8606060606060606,0.6776859504132231
S5,0.8585858585858586,0.8181818181818182,0.8326086956521739,0.8181818181818182,0.8545893719806763,0.6666666666666667
S6,0.9797979797979798,0.9846153846153847,0.9779017857142858,0.9846153846153847,0.9799287518037517,0.9558232931726908
S7,0.8282828282828283,0.778054298642534,0.7947811242531398,0.778054298642534,0.8207449448761484,0.5935764308138132
S8,0.83,0.8032967032967033,0.8092245539221188,0.8032967032967033,0.828111323083829,0.6188340807174888
S9,0.98989898989899,0.9924242424242424,0.988720519539706,0.9924242424242424,0.9899358170977175,0.9774436090225564
