subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8543689320388349,0.7916666666666667,0.8180854821617802,0.7916666666666667,0.8425373722963172,0.6455609084652443
S11,0.7549019607843137,0.7285353535353536,0.7299586995658159,0.7285353535353536,0.7540973394546848,0.4599745870393901
S13,0.7647058823529411,0.6571428571428571,0.6631810676940011,0.6571428571428571,0.7211952474991097,0.3758286588475268
S14,0.9705882352941176,0.9707889125799574,0.9675950439478979,0.9707889125799574,0.970684789853673,0.9351969504447268
S15,0.5346534653465347,0.5517094017094017,0.53004653004653,0.5517094017094017,0.5434066424165434,0.09252532976486327
S16,0.7373737373737373,0.7298642533936652,0.719485614646905,0.7298642533936652,0.7416668868281772,0.4411636995223621
S17,0.89,0.9140625,0.8867263927504891,0.9140625,0.8921182164555659,0.7762408462164361
S2,0.8125,0.8571428571428572,0.8095238095238095,0.8571428571428572,0.8169642857142857,0.632183908045977
S3,0.9090909090909091,0.9167410714285714,0.9034146341463415,0.9167410714285714,0.9102734663710275,0.8073513513513514
S4,0.8787878787878788,0.8181818181818181,0.8472222222222222,0.8181818181818181,0.8703703703703705,0.7
S5,0.8282828282828283,0.7803030303030303,0.7947811242531398,0.7803030303030303,0.8224200300776329,0.592
S6,0.7474747474747475,0.723529411764706,0.7219413549039433,0.723529411764706,0.7483258605604409,0.4439451808582341
S7,0.7676767676767676,0.7319004524886878,0.7366107576633892,0.7319004524886878,0.7649356491461754,0.4737693552114629
S8,0.76,0.7296703296703297,0.732620320855615,0.7296703296703297,0.7582887700534761,0.465478841870824
S9,0.8787878787878788,0.8787878787878788,0.8674107142857144,0.8787878787878788,0.8803571428571428,0.7352941176470589
