subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.883495145631068,0.6666666666666666,0.6392694063926941,0.6666666666666666,0.8300305891740923,0.7392405063291139
S11,0.7156862745098039,0.5008783487044357,0.4796949082663368,0.5008783487044357,0.662901524246062,0.35344262295081974
S13,0.8823529411764706,0.7749712973593571,0.7791792606370612,0.7749712973593571,0.8728048880561292,0.7616822429906542
S14,0.8725490196078431,0.6666666666666666,0.5906432748538012,0.6666666666666666,0.8233574131406949,0.7422740524781342
S15,0.6039603960396039,0.7199554069119287,0.6189608219683408,0.7199554069119287,0.6639070996251075,0.4246653375106807
S16,0.8888888888888888,0.785042735042735,0.7880033084148584,0.785042735042735,0.8817385365676106,0.7766153846153847
S17,0.9,0.7447916666666666,0.768687474989996,0.7447916666666666,0.8760432172869147,0.7897392767031118
S2,0.6145833333333334,0.7407407407407408,0.6281650071123756,0.7407407407407408,0.6694701280227596,0.43511450381679384
S3,0.898989898989899,0.7435897435897436,0.7675120772946861,0.7435897435897436,0.8710840286927244,0.7820343461030383
S4,0.7575757575757576,0.48701298701298706,0.5113636363636364,0.48701298701298706,0.7386363636363636,0.4545454545454546
S5,0.8787878787878788,0.6666666666666666,0.6388888888888888,0.6666666666666666,0.8232323232323232,0.717948717948718
S6,0.9191919191919192,0.850932400932401,0.8921227027396323,0.850932400932401,0.9169622024715282,0.8300429184549356
S7,0.6767676767676768,0.5692307692307693,0.5516596540439457,0.5692307692307693,0.6808052474251632,0.39611132291269546
S8,0.67,0.5308807134894091,0.5070769230769231,0.5308807134894091,0.6657230769230771,0.377475947934352
S9,0.8383838383838383,0.6356421356421357,0.5770209434331571,0.6356421356421357,0.8043915372159647,0.6716417910447761
