subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8932038834951457,0.7539386401326701,0.7817178881008667,0.7539386401326701,0.8795703367072918,0.774617067833698
S11,0.8921568627450981,0.7385392385392385,0.7585697399527187,0.7385392385392385,0.8650657071339175,0.7692782233189389
S13,0.9803921568627451,0.9487179487179488,0.9673202614379085,0.9487179487179488,0.9797193387158786,0.9604190919674039
S14,0.9509803921568627,0.8717948717948718,0.8866213151927438,0.8717948717948718,0.9476457249566492,0.902242668200115
S15,0.9306930693069307,0.8316610925306577,0.8667755991285403,0.8316610925306577,0.9236426583834855,0.8579180064308681
S16,0.8686868686868687,0.7068376068376069,0.7134678688993846,0.7068376068376069,0.8450065272735946,0.7188114485470833
S17,0.97,0.9392361111111112,0.9474644546437044,0.9392361111111112,0.9699338919533455,0.9423076923076923
S2,0.7708333333333334,0.648148148148148,0.6276879432624113,0.648148148148148,0.7571702127659575,0.5475578406169666
S3,0.9191919191919192,0.8682983682983684,0.8940119606786273,0.8682983682983684,0.9143365587810033,0.8335435056746532
S4,0.9393939393939394,0.8560606060606061,0.8852941176470588,0.8560606060606061,0.9342245989304814,0.872093023255814
S5,0.9191919191919192,0.845959595959596,0.8588873812754411,0.845959595959596,0.9161218699888986,0.8333333333333334
S6,0.98989898989899,0.9948717948717949,0.9900086132644272,0.9948717948717949,0.9899720721426147,0.9801642957323182
S7,0.797979797979798,0.6405372405372406,0.6412630092687481,0.6405372405372406,0.7794654200680026,0.5752895752895753
S8,0.7,0.6423076923076924,0.6374764595103578,0.6423076923076924,0.7347457627118643,0.4771697455559428
S9,0.797979797979798,0.5505050505050505,0.5178275290215589,0.5505050505050505,0.7705035428916027,0.578544061302682
