subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,0.9117647058823529,0.8043478260869565,0.8514322705939472,0.8043478260869565,0.9034109840731891,0.7067092651757189
S13,0.9901960784313726,0.99375,0.9857442348008385,0.99375,0.9902741809512065,0.9714924538848518
S14,0.8431372549019608,0.8670454545454545,0.803088803088803,0.8670454545454545,0.853584677114089,0.6129032258064516
S15,0.7722772277227723,0.5,0.43575418994413406,0.5,0.6730460755572764,0.0
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.9479166666666666,0.8980952380952381,0.9195575666163902,0.8980952380952381,0.9464240824534942,0.8393574297188755
S3,0.9696969696969697,0.9805194805194806,0.9581513315485417,0.9805194805194806,0.9703630642055329,0.9164086687306502
S4,0.9595959595959596,0.9047619047619048,0.9348684210526316,0.9047619047619048,0.9579744816586923,0.8700787401574803
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.8585858585858586,0.698051948051948,0.7390813253012047,0.698051948051948,0.8371820615796519,0.49193548387096775
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.79,0.8178994918125353,0.7523292841136926,0.8178994918125353,0.8044887368793491,0.5174632352941178
S9,0.8181818181818182,0.7628205128205128,0.745137299771167,0.7628205128205128,0.8236946120241314,0.49143835616438347
