subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,1.0,1.0,1.0,1.0,1.0,1.0
S13,0.9901960784313726,0.9772727272727273,0.985266502961144,0.9772727272727273,0.9901125263047584,0.9705372616984402
S14,0.8431372549019608,0.8505681818181818,0.7985185185185185,0.8505681818181818,0.8524328249818446,0.6019512195121951
S15,0.9603960396039604,0.9130434782608696,0.9398809523809524,0.9130434782608696,0.959005186232909,0.8800475059382423
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.9583333333333334,0.9390476190476191,0.9390476190476191,0.9390476190476191,0.9583333333333334,0.878095238095238
S3,0.9797979797979798,0.9545454545454546,0.9697802197802198,0.9545454545454546,0.9794464794464794,0.9395973154362416
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,0.98989898989899,0.9935897435897436,0.9851462865716429,0.9935897435897436,0.989983859601264,0.9702970297029703
S6,0.98989898989899,0.9935064935064934,0.9856209150326798,0.9935064935064934,0.9899782135076252,0.9712460063897763
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.94,0.8848108413325805,0.9095840867992766,0.8848108413325805,0.9379023508137432,0.8196031268791341
S9,0.8080808080808081,0.7738095238095238,0.7423640597178469,0.7738095238095238,0.8172811528516226,0.48816326530612253
