subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9902912621359223,0.9791666666666667,0.9862170480396093,0.9791666666666667,0.9902185083127738,0.9724377843189724
S11,1.0,1.0,1.0,1.0,1.0,1.0
S13,0.9705882352941176,0.9318181818181819,0.9542121801586114,0.9318181818181819,0.9697828555333551,0.9085475194261805
S14,0.9509803921568627,0.9357954545454545,0.9287211740041929,0.9357954545454545,0.9513709047560325,0.8574622694242593
S15,0.9603960396039604,0.9130434782608696,0.9398809523809524,0.9130434782608696,0.959005186232909,0.8800475059382423
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.9270833333333334,0.9190476190476191,0.8984126984126983,0.9190476190476191,0.9287698412698413,0.7971014492753623
S3,0.9393939393939394,0.8636363636363636,0.9023026315789473,0.8636363636363636,0.9357456140350877,0.8057553956834532
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.98989898989899,0.9935064935064934,0.9856209150326798,0.9935064935064934,0.9899782135076252,0.9712460063897763
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.96,0.9130434782608696,0.9397227245328511,0.9130434782608696,0.9586015672091621,0.8797354179194228
S9,0.898989898989899,0.8141025641025641,0.837171052631579,0.8141025641025641,0.8949362041467305,0.6751968503937008
