subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9805825242718447,0.9873417721518987,0.9735897435897436,0.9873417721518987,0.9808464027881504,0.9472065607380831
S11,0.8235294117647058,0.8706659328563566,0.7914584279872785,0.8706659328563566,0.8363578052756768,0.5947019867549669
S13,1.0,1.0,1.0,1.0,1.0,1.0
S14,0.8431372549019608,0.8670454545454545,0.803088803088803,0.8670454545454545,0.853584677114089,0.6129032258064516
S15,0.7821782178217822,0.5217391304347826,0.47986891385767794,0.5217391304347826,0.6958041309748954,0.06560134566862896
S16,0.9595959595959596,0.974025974025974,0.9450000000000001,0.974025974025974,0.9607407407407409,0.8902439024390244
S17,0.95,0.9671052631578947,0.9358233859581568,0.9671052631578947,0.9515081504299832,0.872057318321392
S2,0.8854166666666666,0.7552380952380953,0.7987421383647799,0.7552380952380953,0.8730345911949686,0.6036036036036037
S3,1.0,1.0,1.0,1.0,1.0,1.0
S4,0.8888888888888888,0.7380952380952381,0.7896465134247634,0.7380952380952381,0.8728349752108686,0.5889014722536806
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.898989898989899,0.788961038961039,0.8302469135802468,0.788961038961039,0.8902606310013716,0.664179104477612
S7,0.9191919191919192,0.9487179487179487,0.892972972972973,0.9487179487179487,0.9234725634725636,0.7877813504823151
S8,0.71,0.6439864483342744,0.6277756385573097,0.6439864483342744,0.7222461814914645,0.2602040816326531
S9,0.7676767676767676,0.6437728937728937,0.6462637874786391,0.6437728937728937,0.7655834404319725,0.2926374650512582
