subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8640776699029126,0.818407960199005,0.8384856630824373,0.818407960199005,0.8578357170198699,0.6805494018608773
S11,0.7549019607843137,0.7285353535353536,0.7299586995658159,0.7285353535353536,0.7540973394546848,0.4599745870393901
S13,0.9509803921568627,0.9490405117270788,0.9459917399131632,0.9490405117270788,0.9511413164227884,0.8919949174078781
S14,1.0,1.0,1.0,1.0,1.0,1.0
S15,0.9306930693069307,0.9089743589743591,0.9218352681039248,0.9089743589743591,0.9293904514829593,0.8441014332965822
S16,0.9494949494949495,0.9404977375565611,0.9436025976985303,0.9404977375565611,0.9493108135013115,0.887218045112782
S17,0.97,0.9644097222222222,0.9672453324598755,0.9644097222222222,0.9699050114641335,0.9344978165938864
S2,0.6666666666666666,0.746031746031746,0.6665219279201042,0.746031746031746,0.6643508467216673,0.3997655334114889
S3,0.9797979797979798,0.9779017857142858,0.9779017857142858,0.9779017857142858,0.9797979797979798,0.9558035714285714
S4,0.8787878787878788,0.8181818181818181,0.8472222222222222,0.8181818181818181,0.8703703703703705,0.7
S5,0.8888888888888888,0.8409090909090909,0.864501679731243,0.8409090909090909,0.8836630583551077,0.7317073170731707
S6,0.9696969696969697,0.9699095022624434,0.9666329625884732,0.9699095022624434,0.9697991032672529,0.9332734217029881
S7,0.8585858585858586,0.801131221719457,0.8257042253521127,0.801131221719457,0.8494095888462087,0.6576086956521738
S8,0.61,0.6142857142857143,0.5983935742971888,0.6142857142857143,0.6188755020080321,0.21052631578947367
S9,0.9292929292929293,0.9015151515151516,0.9170755055641977,0.9015151515151516,0.9276853735391488,0.8346456692913387
