subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.883495145631068,0.6666666666666666,0.6392694063926941,0.6666666666666666,0.8300305891740923,0.7392405063291139
S11,0.8725490196078431,0.6872571872571873,0.6768904854011236,0.6872571872571873,0.827135109362894,0.7212528904771915
S13,0.9607843137254902,0.8974358974358975,0.9297321036451471,0.8974358974358975,0.9577875946162391,0.9191438763376932
S14,0.9215686274509803,0.7948717948717948,0.8005698005698005,0.7948717948717948,0.910172616054969,0.8427745664739885
S15,0.9207920792079208,0.8060200668896321,0.842227629088943,0.8060200668896321,0.910571495105715,0.8359057676685622
S16,0.9191919191919192,0.8004273504273506,0.8322440087145969,0.8004273504273506,0.9075064369182017,0.8289416846652268
S17,0.97,0.9392361111111112,0.9474644546437044,0.9392361111111112,0.9699338919533455,0.9423076923076923
S2,0.8020833333333334,0.6640211640211641,0.6503874798711755,0.6640211640211641,0.7819600128321257,0.596816976127321
S3,0.9595959595959596,0.9289044289044289,0.9521754126632175,0.9289044289044289,0.9588974743741928,0.9187692307692308
S4,0.9292929292929293,0.8055555555555557,0.8459585272958104,0.8055555555555557,0.9165159850729043,0.8453815261044176
S5,0.9090909090909091,0.8181818181818182,0.834920634920635,0.8181818181818182,0.9036075036075036,0.8103448275862069
S6,0.9797979797979798,0.9670940170940171,0.972971633841199,0.9670940170940171,0.9796906260674376,0.959902794653706
S7,0.8383838383838383,0.6512820512820513,0.6285714285714286,0.6512820512820513,0.7936507936507936,0.6437246963562753
S8,0.73,0.6030286138981792,0.6122026413364996,0.6030286138981792,0.7452713410823647,0.48786039453717756
S9,0.7878787878787878,0.5454545454545454,0.5128524046434494,0.5454545454545454,0.7605532941353836,0.5574712643678161
