subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.9029126213592233,0.7589137645107794,0.7929630347793898,0.7589137645107794,0.887554472490312,0.7928399034593725
S11,0.8725490196078431,0.6666666666666666,0.6367816091954023,0.6666666666666666,0.8145368492224476,0.7155116927697919
S13,0.9411764705882353,0.8671328671328671,0.9092352092352093,0.8671328671328671,0.9384050589932943,0.8765133171912833
S14,0.9215686274509803,0.7948717948717948,0.8005698005698005,0.7948717948717948,0.910172616054969,0.8427745664739885
S15,0.8514851485148515,0.6376811594202899,0.619107744107744,0.6376811594202899,0.7983673367336733,0.6684901531728664
S16,0.898989898989899,0.7448717948717949,0.7675120772946861,0.7448717948717949,0.8766652027521592,0.7811671087533156
S17,0.97,0.9392361111111112,0.9474644546437044,0.9392361111111112,0.9699338919533455,0.9423076923076923
S2,0.7916666666666666,0.6137566137566137,0.5686752206161009,0.6137566137566137,0.7472389150560338,0.5598349381017882
S3,0.9090909090909091,0.8829763986013986,0.8867451462871311,0.8829763986013986,0.9083373510854427,0.8197815533980582
S4,0.9292929292929293,0.8055555555555557,0.8459585272958104,0.8055555555555557,0.9165159850729043,0.8453815261044176
S5,0.9292929292929293,0.8737373737373737,0.8810068649885583,0.8737373737373737,0.9280216351154565,0.8558052434456929
S6,0.9292929292929293,0.8282051282051283,0.855080964823406,0.8282051282051283,0.9207286430130774,0.8543811725152343
S7,0.8080808080808081,0.6358974358974359,0.6204379562043796,0.6358974358974359,0.7776303177763032,0.5912646675358539
S8,0.74,0.6440914158305463,0.6493987493987494,0.6440914158305463,0.7594184704184704,0.512743628185907
S9,0.797979797979798,0.5505050505050505,0.5084541062801932,0.5505050505050505,0.7517566974088712,0.5582329317269077
