subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.883495145631068,0.6666666666666666,0.6392694063926941,0.6666666666666666,0.8300305891740923,0.7392405063291139
S11,0.7941176470588235,0.6073781291172595,0.569402228976697,0.6073781291172595,0.7439656713749329,0.5577121618831302
S13,0.8725490196078431,0.6666666666666666,0.6318619989852866,0.6666666666666666,0.8137672725102217,0.7120521172638437
S14,0.8333333333333334,0.6060606060606061,0.559748427672956,0.6060606060606061,0.8033666296707361,0.6653155761436016
S15,0.7722772277227723,0.6470457079152732,0.6522317188983856,0.6470457079152732,0.7763843050971763,0.5607034795763994
S16,0.8484848484848485,0.6965811965811967,0.6852624792154467,0.6965811965811967,0.8304340359720589,0.6913965087281796
S17,0.85,0.6510416666666666,0.5833978494623656,0.6510416666666666,0.8104464516129032,0.7099767981438515
S2,0.84375,0.8121693121693122,0.778301401252221,0.8121693121693122,0.8555814570158833,0.7067806963958461
S3,0.8686868686868687,0.6666666666666666,0.5948717948717949,0.6666666666666666,0.8142968142968142,0.7346938775510203
S4,0.7878787878787878,0.5238095238095238,0.547979797979798,0.5238095238095238,0.7653810835629018,0.5157232704402515
S5,0.8282828282828283,0.6414141414141414,0.6107477654240244,0.6414141414141414,0.7876112333273877,0.622983870967742
S6,0.9595959595959596,0.9468142968142969,0.9530286138981792,0.9468142968142969,0.959713072756551,0.919805589307412
S7,0.797979797979798,0.62002442002442,0.6102274066218923,0.62002442002442,0.7683587376058214,0.5655989469065379
S8,0.61,0.5094760312151617,0.4740896358543418,0.5094760312151617,0.6094747899159664,0.3004484304932735
S9,0.7676767676767676,0.5028860028860028,0.47570695490774106,0.5028860028860028,0.7188557702805984,0.4718162839248434
