subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.7864077669902912,0.6169154228855721,0.6059423769507802,0.6169154228855721,0.7735142600729612,0.5706707086017431
S11,0.7843137254901961,0.6418026418026418,0.6042242491247466,0.6418026418026418,0.7488408989908844,0.5654531371030209
S13,0.8627450980392157,0.6616915422885572,0.6243961352657005,0.6616915422885572,0.808432793407218,0.6964285714285714
S14,0.8333333333333334,0.6060606060606061,0.559748427672956,0.6060606060606061,0.8033666296707361,0.6653155761436016
S15,0.37623762376237624,0.5926421404682275,0.44612175747598576,0.5926421404682275,0.39622720483245927,0.22174657534246578
S16,0.8383838383838383,0.6461538461538462,0.6227629088942958,0.6461538461538462,0.8019628564640731,0.6531640026275454
S17,0.85,0.6510416666666666,0.5886825817860301,0.6510416666666666,0.799236074270557,0.6975806451612904
S2,0.5208333333333334,0.671957671957672,0.5529550159984943,0.671957671957672,0.5788475790513834,0.33723547951373256
S3,0.8686868686868687,0.6870993589743589,0.6471064135186273,0.6870993589743589,0.8273330288597465,0.7333747669359851
S4,0.7575757575757576,0.4761904761904762,0.5055555555555555,0.4761904761904762,0.7383838383838384,0.45000000000000007
S5,0.8686868686868687,0.6616161616161617,0.6363636363636364,0.6616161616161617,0.8181818181818182,0.6983122362869199
S6,0.9393939393939394,0.9165112665112666,0.9315960413028158,0.9165112665112666,0.9390462210114752,0.8775762572135202
S7,0.797979797979798,0.6307692307692307,0.6098951208390333,0.6307692307692307,0.7672000442178281,0.5738269479121825
S8,0.55,0.4787068004459309,0.4312576312576313,0.4787068004459309,0.5695677655677656,0.2762946284979094
S9,0.797979797979798,0.6836219336219337,0.650189701897019,0.6836219336219337,0.8058339492485834,0.6245733788395904
