subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,1.0,1.0,1.0,1.0,1.0,1.0
S11,1.0,1.0,1.0,1.0,1.0,1.0
S13,0.9901960784313726,0.9772727272727273,0.985266502961144,0.9772727272727273,0.9901125263047584,0.9705372616984402
S14,0.9509803921568627,0.9522727272727273,0.930884943759317,0.9522727272727273,0.9520765075240015,0.8619382782891175
S15,0.9801980198019802,0.9565217391304348,0.9709436133486766,0.9565217391304348,0.9798733037860748,0.9419206440483037
S16,1.0,1.0,1.0,1.0,1.0,1.0
S17,0.99,0.993421052631579,0.9864846600892012,0.993421052631579,0.9900689282335451,0.972972972972973
S2,0.9270833333333334,0.9190476190476191,0.8984126984126983,0.9190476190476191,0.9287698412698413,0.7971014492753623
S3,0.9494949494949495,0.8863636363636364,0.9201741654571843,0.8863636363636364,0.9470515508251357,0.8409893992932862
S4,1.0,1.0,1.0,1.0,1.0,1.0
S5,1.0,1.0,1.0,1.0,1.0,1.0
S6,0.98989898989899,0.9935064935064934,0.9856209150326798,0.9935064935064934,0.9899782135076252,0.9712460063897763
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.97,0.9347826086956521,0.955562138942379,0.9347826086956521,0.9692401125759146,0.9112426035502958
S9,0.8181818181818182,0.7976190476190477,0.7591891891891892,0.7976190476190477,0.8278132678132678,0.522508038585209
